idx,class,conversation
15,일반 대화,옛날에 받았던 고스톱 오랜만에 했는데 완전 재밌음키키\n 핸드폰으로 했어?\n 피시방 알바했을 때 많이 쳤는데 컴퓨터로 키키\n 피망맞고? 나 자산 1억 넘음 키키\n 근데 자동으로 쳐줘서 실제 룰은 잘 몰라 ㅜ\n 응 폰으로 키키 시간 가는 줄 모르고 무아지경\n 모바일로 하면 돈을 계속 넣어줘서 시간 가는 줄 모르고 치게 되지 키키\n 자동으로 패를 골라줘도 그 패마다 안좋을 걸 먼저 내야 이겨 키키\n 키키 맞고랑 고스톱 차이는 뭐야?\n 맞고는 둘이 치는거 고스톱은 셋이서 키키\n 그것도 그렇고 깔리는 패랑 가져가는 패랑 갯수가 달라!\n 아 그럼 점수 내는 것도 다르나?\n 응 키키 당연히 사람 수가 다르니 패도 다르고 점수도 다르지\n 웅 고스톱이 3점부터고 맞고가 7점부터였나 그럴걸?\n 4명이서도 할 수 있음\n 삭제된 메시지입니다.\n 아하 그렇구만 !\n 난 그 새 돼지 그림 있는 패들 점수 내는 것도 잘 모르겠던데 아는 사람?\n 4명이서도 할 수 있어? 키키 몰랐네\n 나는 광팔고 세명이 하는줄 키키\n 앗 광팔고 하는 걸로 말한거임 키키\n 동물들패는 5장부터 점수가 나는데 그 5장 안에 새가 세마리가 있으면 그게 고도리!\n 아 그게 고도리구나\n 컴퓨터나 모바일은 알아서 해주니까 룰을 몰라 ㅜㅜ\n 광 파는 것도 몰랐음 키키\n 나도 모를땐 그냥 짝 맞추기였어 키키\n 고등학교 때 친구한테 룰 배움\n 난 나한테 비가 들어오면 그판은 진짜 하기 싫어...\n 비 ? 왜?\n 비가 안 좋은 거야? 키키\n 비가 점수가 낮은 패야 키키\n 그거 순서가 있는데 앞만 생각나네\n 비풍초 뭐였는데 이게 점수가 낮은순이자낭 그치?\n 난 잘 모르겠어 키키\n 나중에 모여서 같이 쳐 보자 !\n 광 세개면 3점으로 이길 수 있는데 비광 포함 삼광이면 2점이야 키키\n 고스톱은 같이 치면서 배워야 함\n 맞아 인정 난 많이 져서 많이 알게된 케이스...\n 역시 많이 쳐보는 수밖에 없구만
16,일반 대화,자소서에 성격 쓸때 참고하면 좋을 것 같아\n 뭘 참고해?\n 엠비티아이말이야\n 아 그러네\n 검사지에 보면 자세히 설명되어 있어.\n 맞네. 그걸 보면서 사용할 만한 문장을 고르면 되겠다\n 아무래도 학자들이 적어놓은 문장이라서\n 직접 쓴것 보다는 정제된 언어겠다\n 내향적인 성격의 경우에 에너지를 한곳에 잘 집중한다 이런식으로 적혀있거든\n 오호~그걸 자기소개서에 녹여내면 되겠네\n 자기소개서 첨삭하면서 많이 배운다\n 그러게 나도 검사지를 다시 읽어봐야겠어
17,일반 대화,"경상남도고 물 분쟁의 소용돌이에 빠져들고 있다네요.\n 물이 많이 부족한가요\n 환경부가 지난 6월 내놓은 낙동강 유역 특별 물고나리 방안에 경남 일부 도시가 반대하고 있나봐요.\n 어이쿠 특별 물관리 방안이라.\n 어디가 반대하죠\n 거창, 창녕, 합천군이 반대를 하고 있는데, 낙동간 본류 수질 개선은 생각 않고 다른 지역에서 물을 끌어올 생각만 하고 있다고\n 아 끌어오는 것도 중요하지만 자체 관리가 젤 좋을텐데\n 경남에 물을 준 후 남은 물을 부산에 공급한다고 하는데... 경남에서는 자기네가 부산의 생수통이냐고 반발을...\n 아 그렇게 느낄 수 있겠네요\n 부산과 동부 경남의 식수 공급 문제는 오래된 숙제인가봐요.\n 아 저런. 닥친 사람들에게는큰 문제일 수 있겠어요\n 1990년대 초반 낙동강 페놀 오염 사건 이후로 더 문제 시 되었나봐요.\n 우와 엄청 오래간만에 듣네요\n 페놀 오염사건, 한동안 조용했는데 기름 유출"
18,일반 대화,군대 생활 기억이 나.\n 갑자기 군대 기억이 나?\n 가끔씩 군대 꿈 꿔.\n 군대 꿈 자주 꿔?\n 아주 가끔 꿔.\n 기분이 어때?\n 악몽이라서 무서워.\n 진짜 악몽이었구나.\n 그래도 깨면 다행이지.\n 현실은 아니니까 다행이지.
19,일반 대화,오늘도 쇼핑 계속 있어요?\n 오늘은 먹을걸 좀 사야해여\n 진짜 상상초월 냉장고가 텅 ㅋ\n 어디서 살 거에요?\n 이마트? 키키 자연이랑?\n 두 군데 모두에서 살 예정이요 키키\n 자연이랑은 회원 가입해놓고 이벤트 참여 이후... 들어가보지를 않았네요.\n (지금 교재연구하면서 쇼핑도 하고 있어서 응답이 늦어요. ㅋ)\n 저는 언니네 회사에서 거기 복지포인트를 주는데 친정맘 가까이서 부양(?)한다고 매달 먹거리 쇼핑을 할 수 있도록 해줘서 매달 숙제처럼 가고 있어요 키키\n 오... 언니분이 쌤이 고마운가보네요... 쇼핑몰 이용 포인트도 주고...\n 친정맘 고생시키긴 하지만 친정에 일이 있을 때 제가 늘 신경써야하니... 하하 게다가 돈 빌려달라면 빌려주고 -;\n 아... 돈 빌려주는 거... 알아봐야죠...\n 물건 사고 쇼핑하는 게  편하지 대출 정보 알아내는 거 힘들더라구요.\n 알아보고 다하면 해주겠다 내가 직접 알아보고 하지는 못하겠다고 우선 해두었어요 하하\n 내가 힘든데 직접 돌아다니면서까지는 못해줌.\n 차라리 쇼핑이 백번 낫죠 진짜  키키\n 내 대출도 안 받아봤는데 키키\n 힘들 땐 가족에게 기대게 되나 봅니다.\n 언니분하고 쇼핑 정보는 공유하지요?\n 가끔 좋은 정보 있음 저한테 알려주기도 하고 제가 알려주기로 하고 그래요 키키\n 저도 언니랑 쇼핑 정보 공유 많이 합니다. 하하\n 언니랑 친하셨어요? 하하\n 아니 친하세요? 하하\n 쇼핑 정보 좋은거 많이 주세요? 하하\n 그냥 저냥... 저는 원래 정보 있으면 공유하고 싶어하잖아요...\n 쇼핑몰 가입 이벤트 등등\n 하하 천사천사 하하 좋은 정보 공유 대장 하하\n 쇼핑 좋은 아이템 요즘에 좀 뜸하신 듯요?\n 혼자만 사지말고 알려줘요!\n 넵넵... 요즘엔 대화할 사람도 많고 좀 바쁘네요...\n 곧 다시 쇼핑의 세계로 인도해드리겠음... 키키\n 요즘 내가 내 것도 못챙기잖아요. ㅋ\n 하하 그러게 알죠 알죠\n 요즘 너무 정신없고 그래서 쇼핑의 재미도 진짜 못 느끼고 살아서 ㅜㅜ 흑흑\n 오늘도 열쇼핑하고... 우리 합리적인 소비해보아요.\n 좋아요. 학교에 오느 전학공 물품도 쇼핑하라고 키키\n 쇼핑 실컷 하겠어요 아주 하하
20,일반 대화,"[사진]\n 와... ㅠㅠ\n 진짜많죠?\n 2인분 포장해서 셋이서 먹었어요\n 그러게요. 다른 메뉴도 맛보려면 최소한 네 명은 가야겠다\n 네 셋이서 쟁반짜장 2인분 탕수육 미니 먹으면 배 터진다는 후기가 수두룩해요\n 네 저는 다양한 음식을 맛보는 게 좋아서...\n 마산까지 가서 한 가지만 먹으면 아쉬울 거 같아요.\n 네 ㅠㅠ 샘플러? 같은거 만들면 좋겠어요\n 와 진짜... 그럼 대박이겠어요.\n 쟁반 짜장이랑 짬뽕, 탕수육... ㅠ\n 저기 점심시간엔 줄서더라구요\n 일단 양이많은게 한몫하는거 같았어요\n 아... 그렇구나. 근데 맛은 괜찮아요? 양 말구 ㅋ\n 네 맛도괜찮더라구요\n 근데 짜장 면이 약간 힘없는느낌이던데요 저는\n 아 그렇구나. 짜장면 먹어본지 진짜 오래됐네요.\n 예전엔 중국집 가면 무조건 짜장면이었는데 요즘엔 나이들어서 그런가 짬뽕이 좋아요 ㅋ\n 키키 저도 요즘 짬뽕이좋던데요 키키"
21,일반 대화,차박이나 캠핑에 대한 로망이 있어?\n 응 차박이건 캠핑이건 기회가 되면 꼭 한번 해보고 싶어.\n 캠핑도 장비빨이라고 보니까 정말 다양하게 있더라.\n 응 남자들은 캠핑 장비에 은근히 자존심을 건다고 하더라.\n 제주도에 가니까 캠핑카가 생각보다 많아서 놀라웠어.\n 캠핑카를 전문으로 대여하는 회사도 있어.\n 차박을 하려면 차가 SUV 정도는 되어야 하겠지?\n 오히려 1톤 트럭이 최고일 수 있어.\n 1톤 트럭에다가 타프나 지붕을 세워서 한다는 거야?\n 아니 그냥 침대만 올려놓고 떠나는거지. 무대뽀 여행이야.\n 1톤 트럭 위에다가 텐트를 칠 수도 있겠다는 생각이 드네.\n 응 충분히 가능해. 공간도 넓어서 간이 테이블도 들어가고.
22,일반 대화,누리호 발사한 거 봤어?\n 안그래도 아까 출근하면서 봤어\n 우리나라는 아직 기술이 안되나보네\n 그러니까 생각보다 우주기술이 약하구나\n 나 항공관련주 샀는데\n 헐 뉴스 보니까 떨어졌다던데\n 어 한 6프로 떨어진 듯 망했어\n 야 다시 또 발사할 때까지 존버해야겠다\n 몇 년 뒤에 할지도 모르는데\n 그래도 기다리면 시기가 오겠지
23,일반 대화,소개팅 주선해 줄 사람?\n 언니 남자친구 있잖아 무슨 소리야\n 그러게? 큰 누나 헤어졌어?\n 아니 나 말고 내 친구가 해달라고 해서 키키\n 아 뭐야 처음부터 그렇게 말했어야지!\n 그래 큰 누나가 헤어졌을리가 없지\n 나보다 나이 많고 키 큰사람으로 해달래\n 그게 전부야? 더 없어?\n 어차피 잘생긴 사람 좋아할 거 아냐?\n 잘생기면 더 좋지? 아무튼 찾아봐줘\n 알았어 나도 주위에 찾아볼게\n 오케이! 찾아보고 연락 줄게
24,일반 대화,"10월에 결혼식 넘 많...\n 하 우리 남편도 낼 간다\n 마자 이제 주변에서 진짜 다 가네 ㅜㅜ 안 갈지 알았눈디\n 이제 결혼식은 199인까지 가능하데!\n 오~ 그럼 나도 애기 데리고 갈까...\n 와? 대박 늘었네?! 희소식이네!\n 어머 나도 내일 인디\n 안 되겠지?\n 가고 싶다...\n 키키 결혼식 근데 위험하지 않아 보였오\n 애기는 좀 그렇지!  불안해\n 울 강아지랑 뷔페 가긔... 대환장파티일까?\n 아 그런가,?\n 식사 할 때 넘 불안한디\n 우리 애기 마스크도 잘 쓰는디...\n 아아 뷔페는 좀 위험해 보이긴 하더라!\n 키키 남편만 바쁠 듯 넘넘\n 저번에 보니 어떤 애기는 마스크도 안 쓰고 그러던디...\n 손장갑 끼구 밥 먹을 때 어짜피 마스크 내려서 ㅜㅜ\n 음식 나르다가 볼일 다 봄 키키\n 하... 하기는 애기 보다가 밥 못 먹을 듯\n 마자 아가들 마스크 안 쓰는 애들 많대,\n 난 내일 야외 결혼식 간당\n 야외 결혼식? 대박\n 우와! 야외 결혼식 로맨틱하구먼, 하하"
25,일반 대화,나 요즘 운전 배우고 있는데 많이 어렵네 ㅜㅜ\n 운전... 첨엔 어려운데 하다 보면 운전 안 하고는 못살아 ㅠㅠ\n 니는 운전한 지 얼마 정도 됐어?\n 나... 5년 됐나... 그 정도 된 거 같애 키키\n 오오! 그래? 꽤 오래 했구나! 하하\n 응응 면허는 늦게 땄는데 면허 따고 일 년 있다가 바로 운전 시작했어 키키\n 난 첨에 주차 때문에 너무 운전이 무서웠는데... 키키\n 주차만이 문제는 아니더라고? 키키\n 아 그렇지... 키키 첨엔 차선 바꾸기도 너무 힘들었어 키키\n 로타리 도는 것도 무섭고 ㅠㅠ\n 응응 그러니까 키키 차선 바꾸는 게 너무 무섭던데? 키키\n 어 맞아... 키키 멈칫하는 순간 못 들어가 키키\n 그냥 들이밀어야 해 키키\n 경차라서 충분히 들어가고도 남는다는데... 나한테 엄청 큰 suv타고 있는 느낌이야 키키\n 키키 맞아... 무서워 ㅠㅠ\n 뒷차가 막 달려와서 박을 거 같고 ㅠㅠ\n 아직 낮시간엔 운전을 못하겠더라... 키키\n 차 없을 때나 운전하고 키키\n 키키 운전은 진짜 많이 해봐야 느는 거 같애\n 응응 그런 것 같아! 키키\n 고속도로를 탈 수 있는 날이 빨리 오길 키키\n 오히려 고속도로가 운전하기 편해... 키키 일반도로보다 ㅜㅜ\n 서울은 근데 진짜 무섭긴 하겠따 차도 많아서
26,일반 대화,오늘도 과제 두 가지 끝냈어.\n 진짜 매일매일 과제가 있네.\n 저번 학기보다 과제가 더 많은 것 같아.\n 그러면 너무 힘들겠다.\n 그래도 이제 좀 익숙해졌어.\n 그건 그나마 다행이다.\n 그리고 좀 재밌기도 한 것 같아.\n 피할 수 없으니 즐기는 건가.\n 아무래도 그런 셈이지.\n 너 상태가 좀  이상해진 것 같은데.
27,일반 대화,카카오 뱅크 다 있어?\n 나는 아직 없어\n 저도 없어용 카카오페이는 있는디\n 언니는 전자상 거래  은행은  인터넷으로 안하는구나\n 응 나는 안 하고 있어\n 저는 이제 해봐야겠어요\n 중고 거래는 인터넷으로 해봤어?\n 아니 난 아직 이것도 안해봤어\n 저도 당근 마켓 요즘 잘 되고 있다던데\n 요즘  중고 거래로 당근마켓 유행이잖아\n 그러니까 나는 다른 세상 살고 있나봐\n 티비 보니까 연예인들도 당근 마켓으로 전자상거래 많이 하더라고요\n 괜찮은건 금방 거래되고 없드라고\n 나도 전에 그 앱을 깔아서 들어가보긴 했는데\n 막  무료 나눔도 하던데... 한 번 해보고싶군\n 무료 나눔은 올라오자 마자 거래되니까\n 살 것도 없길래 그 뒤로는 안 들어갔네\n 당근마켓이 중고시장 쪽에서는 거래량 1등인가? 갑자기 어느샌가부터 빵 뜬 것 같아요\n 중고나라는 지는 중인가?\n 꾸준히 이용하고 있는 거 아니야\n 이젠 맨날 당근마켓 얘기만 나오구 중고나라는 영 얘기가 안 나오네용...하하 옛날엔 중고나라에서 사기도 많이 발생해서 그런가?\n 전자상 거래는 그런 게 위험해\n 앞으로 이용할 때 조심해야 되겠다\n 그니깐요... 전자상거래 하다가 언제 사기 당할지도 모르는 세상이라...
28,일반 대화,요새 머릿결이 좀 푸석해진 것 같아.\n 이제 가을이라 그런가?\n 아 그래서 그러나 보다.\n 헤어팩 한다고 하지 않았어?\n 요즘은 귀찮아서 잘 안했지.\n 관리를 소홀히 했네.\n 하지만 헤어팩 하고 방치하는 시간이 너무 지루한걸.\n 나는 방치하는 시간에 이 닦거나 클렌징 하는데 그렇게 해보는 건 어때?\n 그래도 시간이 남더라.\n 그럼 유튜브 영상이나 보자.\n 역시 그게 좋겠네.
29,일반 대화,여자친구한테 바라는 거 있어?\n 음... 바라는 건 없고 그냥 이렇게만 연애하면 좋겠어\n 바라는 거 없으니까 생겼으면 좋겠다\n 그러게 키키\n 넌 지금 행복한 연애중?\n 당연하지~\n 나는 지금 행복한 연애중이야\n 오 뭐야\n 얼마나 행복하길래~\n 부럽다\n 그러게 키키\n 여자친구가 정말 잘해주나 보다 ^^?\n 그럼~ 키키\n 나도 잘해주려고 노력중이거든~\n 키키 서로 노력하고 이쁘게 연애 하나보네 ㅠㅠ\n 부러워\n 오 멋진 남친이 되겠구나 키키\n 여자친구 입장도 들어봐야 함\n 그건 맞지만 좋다고 해주지 않을까?!\n 맞아\n 여자친구도 막 싫다면서 좋아하겠지 키키\n 그러게 키키\n 내가 한번 떠볼게\n 좋아 키키\n 너무 티나게 묻지는 말고\n 어어 한번 물어보고 와 봐\n 궁금\n 키키 내가 들었는데 요즘은 나쁘지 않대~\n 오~ 역시 내가 잘 해주고 있네\n 뿌듯하다\n 오 요즘은 안 싸우고 지내는 게 사실이였군 키키
30,일반 대화,전공 선택 할 때 영향을 끼치는 게 많은 거 같아\n 드라마도 중요한 요인인 거 같아\n 아~ 우리 때는 호텔 전공 인기 있었어\n 그 때 호텔리어 드라마 하지 않았어?\n 그리고 커피전공이 인기 있을 때도\n 그때는 커피프린스 했었지\n 한의학과 전공 폭발하던 때는 언제인 줄 알아?\n 아마 허준이 인기있을 때인가\n 맞아 사람들 참 신기하지\n 드라마에서 전공의 매력을 찾아서 그런가 봐
